"track_id","track_name","release_date","duration_ms","popularity","cover_album","artists_names","artists_ids"
"5EtlaubCKuxXr8oyV5eP5H","Rahe Man","2010","308975","8","https://i.scdn.co/image/ab67616d0000b2733c05a4ae13456be29f2e8146","Erfan,Khashayar","1yPzb9mqugowOfUs2vIOgL,0xh69CGG5qoRLgYpS9xAYN"
"5Nk4nRub6mTwJ30vhvrPZR","Jangjoo","2023-04-27","295000","7","https://i.scdn.co/image/ab67616d0000b273ccac4de1228280121bab32e2","Madgal","59c59jqSTrVDZhSyrnaCLz"
"0HiUTzyKWnulYKlW4i7H5Y","Khanevadegi","2019-08-20","572813","0","https://i.scdn.co/image/ab67616d0000b2736ae97a9dd5bfcb1c899d0d24","Jarshaa,Etehade Shomal","66pDL2f3LoOqKBD6BjDvQh,3iBeLei0H4spmpMNMT3nXN"
"6za4xvzj40sfbrLbQzjWjL","Guillotine","2020-11-23","96041","6","https://i.scdn.co/image/ab67616d0000b2736f2601042d00de9f9e6bfb0d","Poori","5uEEhLt2ETeApnvs40MOxk"
"4MgXhgFWAyxNUb7cp0DNjh","DASHBOARD","2024-03-07","188487","8","https://i.scdn.co/image/ab67616d0000b273a6b6487058796068848cd790","Aliz,Farnaam","0kvIaNH5ddcv845mDHykJi,15h6Fhs7j2yeu4kG7yziAv"
"1IXBWxW6DcMpGSuCb3vKL8","Achmaz","2023-05-27","141781","19","https://i.scdn.co/image/ab67616d0000b2731f09a6b83846ebd5c4a30683","Fadaei,Shapur","5aWL79DpD45MzDMwCTZqsN,6kbLiMnkNZHlvMpTv5iK9h"
"4x8SEZpRULBD8ZQu3LZQiA","Honar","2013-10-22","173328","1","https://i.scdn.co/image/ab67616d0000b273fdb8a3d8783217a2013ae1ea","Aein","60b0BYerc0Rg4zgmWqHD9J"
"6DCvVeWZdVpYVU8PoDAXJE","Mā Az Ounāshim","2011-03-08","226428","19","https://i.scdn.co/image/ab67616d0000b273be226740055d92d558bc314a","Hichkas","2X90kCLyxyPeJ5nynJGbvT"
"0Zeoz3JEjZQFHbPT6q87Ob","Hamatuno Misuzunam","2021-05-13","225019","2","https://i.scdn.co/image/ab67616d0000b273a09d48aad592394b70ae16a4","Cnjim,sorosh","2utR6IBKj6bToiY7ei121b,7J45vCTkXgI98i1EWocEfQ"
"5RRg55AOokxFoixBwPjp5i","Caramel","2022-02-07","192166","18","https://i.scdn.co/image/ab67616d0000b2737e49ec2dd6d0d071969abccb","Isam","2oJHjkrwOU6fFBoDiW1jDP"
"346EErIoazuVeGM0RvpL1A","De Niro","2021-11-12","231489","0","https://i.scdn.co/image/ab67616d0000b273157110564d496135b2e8db8d","FP,DINDO OG","1sGd2Z2IKWkPm1WWsVxWnS,12u2DOVwAEO8J86VqfDjne"
"7IYgGGmtHSq1jRno9HvjbP","Knock Out","2024-01-12","184388","0","https://i.scdn.co/image/ab67616d0000b2731d1d8382b585133769974e6a","Beni JD,Ali Owj,Notrika","4XHyyBV9YK0bp7uysRdRvn,1QLYXMAVVrk6WLYeARVBKn,21vovBhyWAlfMQ7lEBQbsg"
"5HATcwf1jUbHiQwtYDF9Mc","Donbale Poolim","2024-03-24","221369","23","https://i.scdn.co/image/ab67616d0000b2734a2ec31eb86b383588cc7d55","Amin Tijay,Pouriya Adroit,Catchybeatz","3JS9sHeI06RtolBR5s5O0L,7lH1vL9VXRSTutpZ0JOyim,25JIQIFASUvrcnzFL9CQhZ"
"0aa0rahK5wzDDololiq9km","Bad Bitch","2023-04-23","223059","32","https://i.scdn.co/image/ab67616d0000b273f4c66749ab2f4f0648e562ce","Sijal,Sepehr Khalse,Canis,Behzad Leito","5F0BGBdSL945Bzxrq8aGbn,2SFwcduI9cdZsG6UxnBm3C,6OPdGHW0QD6WknWX2tlzJm,4zNEj5bkHE0kNSpfIwgdvu"
"3p5xLJgJ5y1yzF1xWwZSnt","Ye Ruzi Tehran Barmigardim","2023-08-22","149652","11","https://i.scdn.co/image/ab67616d0000b2733a03dee90f1473bbe6390a69","Sami Low,XWHISKY","4mST4sikQtpiH5dIkRxaCT,4TO3iG7Rd36IKRcMVvPi2U"
"5ZM3PCbh4igD1BHqTt7eDA","Bella Ciao","2020-08-20","196853","0","https://i.scdn.co/image/ab67616d0000b273453a1347b54bdfe6358a102b","Parsa Simpson","5wvDF7PuwGQuohqPkW6cdB"
"780CjJ3akfSjT0Ka3FcJgm","Fard","2021-10-27","183529","0","https://i.scdn.co/image/ab67616d0000b273be74f3af1ffc8b39bcd89fcd","Mafogh,Pishva","2FcfSBtf8SDGyvKmS9O9AI,3yesDolVXEngM50Gs7Ajq8"
"4EjLdOhqzCw4nBn6vcMbbf","Nik Ahdaan","2021-08-02","250000","0","https://i.scdn.co/image/ab67616d0000b273d100e05c16d698a996b8452f","Beatbynajwa","3I36QJUwnZzyxnqIQJkZcy"
"6ZHMgbVmKDSTIsHMwU0qyO","Dastaye To - Unplugged Version","2021-03-29","86569","25","https://i.scdn.co/image/ab67616d0000b273d1de56e299f3f0aa9889d3a4","Sajadii","6gKTNAJ5jCUX5zmkwQ19FS"
"3eFDmRUYoFCJnSCAwCvTgY","Ride With Me","2014-01-14","222772","0","https://i.scdn.co/image/ab67616d0000b273941355262b796e30e4c1d395","Marcos the Mrkrazy","1ZFPlV10zSg6cOnmms7aqh"
"1Cnwt1PrITikZqcpQOaeYi","BulletProof","2024-05-12","210882","12","https://i.scdn.co/image/ab67616d0000b273d5bef11de204c34cddfd084b","Amir Ribar,LiderBeatz","1pi0dvF0ZMfD1d1KdR2r21,2PkCTpGB90WI3guF3BxTL2"
