"track_id","track_name","release_date"
"7Krj0A8i8VIk1NFl5SdLIJ","Traffic","2021-12-14"
"2YpYa2ZK6Ohz1AaibOZ3IM","23","2022-04-19"
"1w3lxUwO2vraUlR2N5077g","Clonazepam","2021-12-27"
"7kZynG9EDZEkmfctp9lRlP","Man 2","2018-11-12"
"72lhMRwfvCcuZiL23l5rWr","Orzhans","2023-02-01"
"3jE14GBrHbTAYDvEbMpdNi","Sadameh","2022-09-09"
"5tHzOoZBWbTZWfVPUpvHrO","Agaah","2023-06-27"
"6Ib9gnk5AfaG4HavJuQlob","Ghahreman","2016-11-11"
"75qskeh724GfocRKVZuQM4","Pantomime","2016-11-11"
"6MbdB2payMQyUgLFZ0ZEjJ","Navazesh","2016-11-11"
"7uWpjhztxcehNfhl5VMrT9","Etiyad","2016-11-11"
"28KNzbkojlBkDNKq4NdJPB","Timar","2016-11-11"
"1xjBQPOGBkR4xbgJM6YRM5","Chera","2016-11-11"
"3b4gEGENm6ux3X3n6z8Ys7","Tah Sigar o Masghati","2016-11-11"
"01OfnarDEPt1z1bgzaTbaA","Be Eshghe Khodet","2016-11-11"
"3L5mpMyTYDpRalCmdu0PPL","Gir Kardam Roo To","2016-11-11"
"11OQFDjq0PysODPdpL0FlL","Taghir","2016-11-11"
"77ctJyyqVf2SAB4PQ45dTK","Eyde Emsal","2016-11-11"
"5ezAtGWOFN9pDC45GmNy0E","Pile","2016-11-11"
"6cv7Pm0HbdnoIDNKx9YF35","Mesle Shir","2016-11-11"
"6gP3XYVp4rjkI1J3f6u8P0","Iran","2016-11-11"
"6FIJ9ZM82dJDOyBKaghaRM","Rooz Be Rooz","2016-11-11"
"18dEy5EJejSTXFnjK0mdqy","Boro Mercy","2016-11-11"
"642k8zguSJfBAMggdDic0Y","Lajan","2017-08-02"
"1A3JiBLAKkBZ2OfQEDIYwx","Man Bahat Ghahram","2021-02-12"
"7cOTzO1Zxan0BHd1Hs8rIN","12 Be Bad","2020-08-17"
"0aDxRsHCPf4dHlamsFYO2D","Barf (Live)","2020-12-16"
"0JkG8DdzrlvTgunvtEuvXC","Farmoon (Live)","2020-12-16"
"6W2bBoQ2XfB2kUyXT2aYT9","Baazi (Live)","2020-12-16"
"15zWlPMWgqy7VotSsS6i4r","Fooroodgah (Live)","2020-12-16"
"03yMGXwUOEYnSJHcuWihA3","Bitab (Live)","2020-12-16"
"2hsTwJrPqLBYvT2hnLII53","Farda (Live)","2020-12-16"
"2P4nosDjQXcVBMgs8Q2WIc","Emruz Na (Live)","2020-12-16"
"4op3HqClvAaDOePzND9s1A","Taa Tah (Live)","2020-12-16"
"4UVjsUpOQXD7glruotQHd0","Bozorg (Live)","2020-12-16"
"2CHyDJqIqLYw7IYMhuPhbL","Ghesse (Live)","2020-12-16"
"6TRM21eevF71UVTRZNFqDa","Gorg O Mish 2 (Live)","2020-12-16"
"0l5WhuOH0a2lEB0b4a1QtK","Raftam (Live)","2020-12-16"
"3WcN0EAwPQbMxsqpy2hBKw","Baare Akhar (Live)","2020-12-16"
"2iNSX9XRExbqJ1DdTnpY9O","Tiz (Live)","2020-12-16"
"2k9W2tPM44lM5j0Gl6W9Lb","Az Aval (Live)","2020-12-16"
"1EdhuzCHBIQk685Vzlk05X","Naa Ashna (Live)","2020-12-16"
"5RRvCxnEL14SZnKzLuaDGP","Siyah (Live)","2020-12-16"
"7hKapOuJ8zbNBs9Pn9Hlqe","Dardesar (Live)","2020-12-16"
"53YDsEf0w7OTowtvjZpkXA","Miresam (Live)","2020-12-16"
"4dd2ahPUqvJ1K8qGLqgw8k","Cigare Sooraty, Daro Baz Kon, Bache Mahal (Live)","2020-12-16"
"1jIrQAzc6xwzw3Id6bQySk","Yakuza","2021-09-11"
"64AXokF38wZDQz5FlpNbI9","Chetori Gol","2021-09-10"
"1vjRBWmacfFke2az5RrLgl","Shivan","2019-12-13"
"7HbEjtOASgobnO6EhVa9lD","Surreal","2017-06-18"
"5mMY3NFCoMH0kOyWIRMEsd","Illegal","2022-02-16"
"1asSQA2aPg65sFqvi1bibd","Begoo Binam Nadidish","2010-08-06"
"31x6NvqHtxcOHlmKg4H29N","Chetori Gol - Djm6 ,Sajjad Gholipour Remix","2021-12-26"
"1wdZ0zgZWeFN8JdQBX6FZK","Chetori Gol - DJ Milaad Remix","2021-12-26"
"3dh6WVmdlYsl3GRvoNNTaA","Chetori Gol - DJ Ehsan Remix","2021-12-26"
"3Q166pKGpQNFSFnu8RpvsE","XXVI","2021-08-02"
"0JLN4aCnnhGS8kO1yUK4k8","Fasl","2022-02-04"
"7EMUtO0wV8PDJ64If6d3uS","West London","2021-01-21"
"0lsZt7u0pys6KanpJmAzcs","Rock A Chock","2020-08-17"
"63oG68SezHO0MDbi8D8aRD","1000ta Maznoon","2020-01-23"
"5rsFdLZBdkzW9arnc8LfnI","OnlyFans - REMIX","2023-05-03"
"1Mo3roEoZwxsQiun3sFo5n","Khodaya Mercy - Funkagenda Radio Edit","2020-09-25"
