"track_url","page_name","track_title","plays","likes","comments","upload_datetime","cover_url"
"https://soundcloud.com/amintijayy/bede-bere","Amin Tijay","Bede Bere","365067","5632","253","2022-06-14T11:19:39.000Z","https://i1.sndcdn.com/artworks-Xu3OIkhZfQieDjUb-xkPDVA-t50x50.jpg"
"https://soundcloud.com/amintijayy/amin-tijay-emsaal","Amin Tijay","Emsaal","117079","1847","203","2022-04-25T15:12:58.000Z","https://i1.sndcdn.com/artworks-yRoUmcZfFBKe2YqW-NYZZEw-t50x50.jpg"
"https://soundcloud.com/amintijayy/amin-tijay-x-pouria-k-reset","Amin Tijay","Reset Memory ( feat. Pouria K )","118715","2400","167","2022-04-09T14:12:40.000Z","https://i1.sndcdn.com/artworks-6fp3yEpj643bk52R-IdTUYg-t50x50.jpg"
"https://soundcloud.com/amintijayy/goldenballz","Amin Tijay","GOLDENBALLZ","89084","1718","118","2022-03-29T09:52:59.000Z","https://i1.sndcdn.com/artworks-kq7ePw7nTBV5xXDC-cqahwg-t50x50.jpg"
"https://soundcloud.com/amintijayy/soundealer","Amin Tijay","SOUNDEALER","55845","916","59","2022-03-29T09:50:32.000Z","https://i1.sndcdn.com/artworks-yGGzm2JU7r2tH96g-pEXMmg-t50x50.jpg"
"https://soundcloud.com/amintijayy/two-of-us-amin-tijay-x-38","Amin Tijay","Two Of Us (feat. 38)","1506978","24300","982","2022-02-12T17:41:56.000Z","https://i1.sndcdn.com/artworks-zHFGz2z15FxhFEwK-PgEyig-t50x50.jpg"
"https://soundcloud.com/amintijayy/mixdown-2","Amin Tijay","Fully Loaded Clip","66112","1183","297","2022-02-05T22:26:50.000Z","https://i1.sndcdn.com/artworks-qM7k2RmkMzStJpHI-admvVg-t50x50.jpg"
"https://soundcloud.com/amintijayy/chops-mix-11","Amin Tijay","Dirty ( feat. Choppy )","85042","1429","83","2022-01-01T18:37:43.000Z","https://i1.sndcdn.com/artworks-ZIVMp1lYT15fhpWm-B4j7NQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/sicily-amin-tijay","Amin Tijay","Sicily","67903","1125","48","2022-01-01T18:34:59.000Z","https://i1.sndcdn.com/artworks-kzdwJbYT3SFhwJPI-ktyCYQ-t50x50.jpg"
"https://soundcloud.com/amintijayy/knock-out-outro","Amin Tijay","Knock Out (Outro)","34679","540","26","2022-01-01T16:15:04.000Z","https://i1.sndcdn.com/artworks-A7LywCoeLPNfluhz-Ked6QQ-t50x50.jpg"
