"album_id","album_name","total_tracks","release_date","album_type","artist_names","artist_ids","cover"
"2R4B62VniBYrJOs7MOnwC4","Bande Topet","1","2012-04-23","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048517b0c1bcff6a6edb70e7f4b8d"
"1SjKy0ID5KPB6IQK5d2V9c","Donya Naya","1","2012-02-19","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851f436c5001c68b4b4c272ef08"
"4iQjN8PTJC7EO0eb3JSS90","Hezar O Yek Shab","1","2012-02-18","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048515fef4374ba5a6bb5efb73700"
"3QRTZJv1UfYmvBE7VZUzZl","Alo Manam","1","2012-02-06","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048512208be7c91c19d410dc2f03f"
"0O3sj8UHzx8tYb4zWn9lB6","Tavalodet Mobarak","1","2012-02-03","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485137ce410181ecea6721e8fe9b"
"5yG32DE5vu4MUdtF8nrSwC","Pishi","1","2012","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048517ce5ba4caba96bef85c513de"
"1XUgQpq2lHqXc52Z4M0K3X","Gorbe Nareh","1","2011-12-30","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851e347ee5a5ee74aefb1162353"
"6Lr5e9iCZG6EewOrgabZrx","Baghe Vahsh","1","2011-12-30","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485171f8e10e1e019caa4486ab1f"
"2MONa7l7fIPQSYZDP15n8n","Mano Bebakhsh","1","2011-12-29","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851f74c826ab9400f635c76d6f6"
"0iZDHLvUhU1Mv4V6U5gw1S","Tanham Gozasht","1","2011-12-25","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851357c86a332c046dbc546f49a"
"0k9BPMJ4pFznU8ddX1Rli6","Migi Doosam Nadari","1","2011-12-22","single","Ardalan Tome,Amir Tataloo,Saeed SJ","6ggRaWLaH3kJMT5blvCVc2,5CEosSs2y4M9THNGI6mej8,0R0K6nh8oN4UIhSeXywzCy","https://i.scdn.co/image/ab67616d000048515fba170a6480933911f89b7d"
